,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
188,The Perks of Being a Wallflower,(2012),103 min,7.9,67        ,"490,348",$17.74M
189,Full Metal Jacket,(1987),116 min,8.3,76        ,"712,965",$46.36M
190,Zootopia,(2016),108 min,8.0,78        ,"470,268",$341.27M
191,L.A. Confidential,(1997),138 min,8.2,90        ,"562,690",$64.62M
192,The Pianist,(2002),150 min,8.5,85        ,"788,581",$32.57M
193,The Trial of the Chicago 7,(2020),129 min,7.8,76        ,"165,868",-
194,Train to Busan,(2016),118 min,7.6,72        ,"200,384",$2.13M
195,The Notebook,(2004),123 min,7.8,53        ,"549,936",$81.00M
196,Reservoir Dogs,(1992),99 min,8.3,79        ,"974,946",$2.83M
197,Kill Bill: Vol. 1,(2003),111 min,8.1,69        ,"1,066,211",$70.10M
198,Indiana Jones and the Raiders of the Lost Ark,(1981),115 min,8.4,85        ,"931,205",$248.16M
199,Zodiac,(2007),157 min,7.7,78        ,"511,121",$33.08M
200,The Intouchables,(2011),112 min,8.5,57        ,"815,193",$13.18M
201,Nightcrawler,(2014),117 min,7.8,76        ,"509,744",$32.38M
202,2001: A Space Odyssey,(1968),149 min,8.3,84        ,"641,452",$56.95M
203,The Sandlot,(1993),101 min,7.8,55        ,"86,888",$32.42M
204,Room,(I) (2015),118 min,8.1,86        ,"400,973",$14.68M
205,Donnie Darko,(2001),113 min,8.0,88        ,"773,871",$1.48M
206,Dead Poets Society,(1989),128 min,8.1,79        ,"460,644",$95.86M
207,Her,(2013),126 min,8.0,91        ,"579,765",$25.57M
208,Ferris Bueller's Day Off,(1986),103 min,7.8,61        ,"342,503",$70.14M
209,Hidden Figures,(2016),127 min,7.9,74        ,"217,305",$169.61M
210,Trainspotting,(1996),93 min,8.1,83        ,"665,254",$16.50M
211,Demon Slayer: Mugen Train,(2020),117 min,8.2,75        ,"44,236",$47.70M
212,Birdman or (The Unexpected Virtue of Ignorance),(2014),119 min,7.7,87        ,"609,914",$42.34M
213,Office Space,(1999),89 min,7.7,68        ,"256,215",$10.82M
214,Ford v Ferrari,(2019),152 min,8.1,81        ,"351,648",$117.62M
215,12 Years a Slave,(2013),134 min,8.1,96        ,"675,384",$56.67M
216,Ocean's Eleven,(2001),116 min,7.7,74        ,"548,987",$183.42M
217,X-Men: Days of Future Past,(2014),132 min,7.9,75        ,"688,795",$233.92M
218,The Truman Show,(1998),103 min,8.1,90        ,"1,012,919",$125.62M
219,Sin City,(2005),124 min,8.0,74        ,"755,071",$74.10M
220,Life Is Beautiful,(1997),116 min,8.6,59        ,"665,142",$57.60M
221,Blue Is the Warmest Colour,(2013),180 min,7.7,89        ,"147,182",$2.20M
222,Training Day,(2001),122 min,7.7,69        ,"417,080",$76.63M
223,Edge of Tomorrow,(2014),113 min,7.9,71        ,"644,316",$100.21M
224,"Lock, Stock and Two Smoking Barrels",(1998),107 min,8.2,66        ,"563,779",$3.90M
225,The Theory of Everything,(2014),123 min,7.7,71        ,"432,657",$35.89M
226,Argo,(2012),120 min,7.7,86        ,"598,333",$136.03M
227,Mulholland Drive,(2001),147 min,7.9,85        ,"343,150",$7.22M
228,The Handmaiden,(2016),145 min,8.1,84        ,"133,403",$2.01M
229,It's a Wonderful Life,(1946),130 min,8.6,89        ,"438,160",-
230,The Curious Case of Benjamin Button,(2008),166 min,7.8,70        ,"625,045",$127.51M
231,Marriage Story,(2019),137 min,7.9,94        ,"284,961",$2.00M
232,True Romance,(1993),119 min,7.9,59        ,"220,074",$12.28M
233,About Time,(I) (2013),123 min,7.8,55        ,"330,188",$15.32M
234,A Beautiful Mind,(2001),135 min,8.2,72        ,"896,241",$170.74M
235,Mystic River,(2003),138 min,7.9,84        ,"443,662",$90.14M
236,Ratatouille,(2007),111 min,8.0,96        ,"683,499",$206.45M
237,Atonement,(2007),123 min,7.8,85        ,"268,057",$50.93M
238,Spotlight,(I) (2015),129 min,8.1,93        ,"451,536",$45.06M
239,Magnolia,(1999),188 min,8.0,77        ,"304,224",$22.46M
240,V for Vendetta,(2005),132 min,8.1,62        ,"1,084,375",$70.51M
241,Psycho,(1960),109 min,8.5,97        ,"642,998",$32.00M
242,Gravity,(2013),91 min,7.7,96        ,"802,560",$274.09M
243,Downfall,(2004),156 min,8.2,82        ,"345,969",$5.51M
244,American Gangster,(2007),157 min,7.8,76        ,"413,616",$130.16M
245,The Thing,(1982),109 min,8.1,57        ,"401,917",$13.78M
246,Brokeback Mountain,(2005),134 min,7.7,87        ,"344,170",$83.04M
247,Tangled,(2010),100 min,7.7,71        ,"431,808",$200.82M
248,Apocalypto,(2006),139 min,7.8,68        ,"303,926",$50.87M
249,Children of Men,(2006),109 min,7.9,84        ,"486,544",$35.55M
250,The Royal Tenenbaums,(2001),110 min,7.6,76        ,"282,869",$52.36M
251,The Help,(2011),146 min,8.0,62        ,"443,796",$169.71M
252,The Wizard of Oz,(1939),102 min,8.0,92        ,"384,372",$2.08M
253,Casino,(1995),178 min,8.2,73        ,"497,403",$42.44M
254,The Sixth Sense,(1999),107 min,8.1,64        ,"955,683",$293.51M
255,The Sound of Music,(1965),172 min,8.0,63        ,"221,306",$163.21M
256,The Incredibles,(2004),115 min,8.0,90        ,"692,968",$261.44M
257,The Last of the Mohicans,(1992),112 min,7.7,76        ,"163,013",$75.51M
258,Dances with Wolves,(1990),181 min,8.0,72        ,"254,526",$184.21M
259,Dallas Buyers Club,(2013),117 min,8.0,79        ,"470,157",$27.30M
260,The Thin Red Line,(1998),170 min,7.6,78        ,"183,089",$36.40M
261,Gran Torino,(2008),116 min,8.1,72        ,"752,358",$148.10M
262,Howl's Moving Castle,(2004),119 min,8.2,80        ,"368,604",$4.71M
263,Your Name.,(2016),106 min,8.4,79        ,"237,689",$5.02M
264,Casablanca,(1942),102 min,8.5,100        ,"551,602",$1.02M
265,Platoon,(1986),120 min,8.1,92        ,"400,991",$138.53M
266,Black Hawk Down,(2001),144 min,7.7,74        ,"383,250",$108.64M
267,The Raid: Redemption,(2011),101 min,7.6,73        ,"199,283",$4.11M
268,Pan's Labyrinth,(2006),118 min,8.2,98        ,"647,703",$37.63M
269,The Bourne Identity,(2002),119 min,7.9,68        ,"531,905",$121.66M
270,Predator,(1987),107 min,7.8,45        ,"393,892",$59.74M
271,Toy Story,(1995),81 min,8.3,95        ,"945,702",$191.80M
272,Amadeus,(1984),160 min,8.3,88        ,"388,068",$51.97M
273,Taken,(I) (2008),90 min,7.8,51        ,"587,307",$145.00M
274,Inside Out,(I) (2015),95 min,8.1,94        ,"671,025",$356.46M
275,Gifted,(2017),101 min,7.6,60        ,"110,622",$24.80M
276,Unforgiven,(1992),130 min,8.2,85        ,"398,202",$101.16M
277,The Breakfast Club,(1985),97 min,7.8,66        ,"379,229",$45.88M
278,Paper Moon,(1973),102 min,8.1,77        ,"45,807",$30.93M
279,What We Do in the Shadows,(2014),86 min,7.7,76        ,"173,865",$3.33M
280,Toy Story 4,(2019),100 min,7.7,84        ,"231,080",$434.04M
281,Finding Nemo,(2003),100 min,8.1,90        ,"1,000,980",$380.84M
282,Rocky,(1976),120 min,8.1,70        ,"550,237",$117.24M
283,The Florida Project,(2017),111 min,7.6,92        ,"107,305",$5.90M
284,Incendies,(2010),131 min,8.3,80        ,"167,837",$6.86M
285,Philadelphia,(1993),125 min,7.7,66        ,"235,328",$77.32M
286,The Butterfly Effect,(2004),113 min,7.6,30        ,"473,758",$57.94M
287,Come and See,(1985),142 min,8.3,-,"71,346",-
288,Sherlock Holmes,(2009),128 min,7.6,57        ,"612,114",$209.03M
289,Gone with the Wind,(1939),238 min,8.1,97        ,"305,801",$198.68M
290,Star Trek,(2009),127 min,7.9,82        ,"594,385",$257.73M
291,The Deer Hunter,(1978),183 min,8.1,86        ,"329,217",$48.98M
292,Up,(2009),96 min,8.2,88        ,"995,218",$293.00M
293,The Exorcist,(1973),122 min,8.0,81        ,"383,909",$232.91M
294,Changeling,(2008),141 min,7.7,63        ,"249,838",$35.74M
295,Capernaum,(2018),126 min,8.4,75        ,"80,536",$1.66M
296,Sound of Metal,(2019),120 min,7.8,82        ,"113,603",-
297,Lethal Weapon,(1987),109 min,7.6,68        ,"250,695",$65.21M
298,Rush,(I) (2013),123 min,8.1,74        ,"461,091",$26.95M
299,Fantastic Mr. Fox,(2009),87 min,7.9,83        ,"219,437",$21.00M
300,Blazing Saddles,(1974),93 min,7.7,73        ,"134,283",$119.50M
301,Just Mercy,(2019),137 min,7.6,68        ,"61,139",-
302,Minority Report,(2002),145 min,7.6,80        ,"534,083",$132.07M
303,E.T. the Extra-Terrestrial,(1982),115 min,7.8,91        ,"393,781",$435.11M
304,Shrek,(2001),90 min,7.9,84        ,"649,044",$267.67M
305,WALL·E,(2008),98 min,8.4,95        ,"1,063,584",$223.81M
306,Lost in Translation,(2003),102 min,7.7,89        ,"439,442",$44.59M
307,Gone Baby Gone,(2007),114 min,7.6,72        ,"266,203",$20.30M
308,Despicable Me,(2010),95 min,7.6,72        ,"525,265",$251.51M
